grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude
27,Borinken Roots,"11800 N Lamar Blvd, Bldg 2, Austin, TX 78753",4.5,30.38835,-97.68406
28,Foxtrot,"4818 Burnet Rd, Austin, TX 78756",4.0,30.31950292313329,-97.73948736368708
29,Fresh Plus Grocery,"1221 W Lynn St, Austin, TX 78703",4.0,30.28084,-97.75843
30,Randalls,"2727 Exposition Blvd, Austin, TX 78703",3.0,30.3042649,-97.7638905
31,H-E-B,"7015 Village Center Dr, Austin, TX 78731",3.5,30.3521976470947,-97.7553100585938
32,Brookshire Brothers,"8087 Bronco Ln, Lago Vista, TX 78645",5.0,30.4816151,-97.9758133
33,West Campus Market,"714 W 22nd St, Austin, TX 78705",4.0,30.2851556436028,-97.7463495118539
34,David's Food,"912 W Mary St, Austin, TX 78704",4.5,30.24835672074111,-97.76179740000065
35,Kin's Market,"2605 Whitis Ave, Austin, TX 78705",4.0,30.29034,-97.73961
36,Fresh Plus Grocery,"2917 W Anderson Ln, Austin, TX 78757",4.0,30.35836,-97.739096
37,Sprouts Farmers Market,"10225 Research Blvd, Ste 1000, Austin, TX 78759",3.5,30.39500642,-97.74473222
38,Randalls,"10900 Research Blvd, Austin, TX 78759",3.0,30.40169,-97.74737
39,H-E-B plus!,"2508 E Riverside Dr, Austin, TX 78741",2.5,30.236235761778573,-97.72225964451393
40,Natural Grocers,"4615 N Lamar Blvd, Ste 304, Austin, TX 78751",4.0,30.315320145152388,-97.73479321647704
41,Randalls,"2025 W Ben White Blvd, Austin, TX 78704",2.5,30.22940247408598,-97.79002763306104
42,Randalls,"5311 Balcones Dr, Austin, TX 78731",3.0,30.335611861849145,-97.75793716794732
